Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
84,Norris Cole\coleno01,PG,28,OKC,4,52,-0.2,.359,.250,.100,0.0,10.6,5.3,13.8,0.9,0.0,19.3,21.2,,-0.2,0.0,-0.2,-0.140,,-9.8,-3.3,-13.2,-0.1
85,Darren Collison\collida01,PG,29,SAC,56,1727,15.1,.570,.262,.211,1.4,7.1,4.2,22.9,1.7,0.5,12.1,19.8,,2.5,0.8,3.3,.091,,0.8,-2.2,-1.4,0.3
86,Nick Collison\collini01,PF,36,OKC,14,81,9.6,.612,.000,.700,5.5,13.6,9.5,13.4,0.6,1.0,18.7,8.4,,0.1,0.1,0.2,.100,,-3.3,-0.7,-3.9,0.0
87,Mike Conley\conlemi01,PG,29,MEM,52,1723,22.7,.596,.402,.376,1.7,10.8,6.1,33.9,2.0,0.9,11.4,25.9,,5.5,1.9,7.4,.205,,6.0,-0.7,5.3,3.2
88,Pat Connaughton\connapa01,SG,24,POR,29,209,10.3,.605,.410,.231,4.8,12.9,8.8,10.6,0.9,0.8,17.3,10.9,,0.2,0.1,0.3,.069,,-1.6,-1.5,-3.1,-0.1
89,Quinn Cook\cookqu01,PG,23,DAL,5,77,7.0,.522,.560,.080,0.0,4.8,2.3,25.4,0.7,0.0,23.6,20.8,,-0.1,0.0,-0.1,-0.040,,-4.1,-4.4,-8.5,-0.1
90,DeMarcus Cousins\couside01,C,26,TOT,62,2130,26.0,.560,.245,.484,7.2,29.4,18.3,26.8,2.0,3.5,13.5,36.8,,3.6,3.2,6.9,.155,,4.0,2.7,6.7,4.7
91,Robert Covington\covinro01,SF,26,PHI,57,1786,12.7,.527,.579,.234,4.7,17.1,10.9,8.0,3.0,2.5,14.5,19.0,,-0.3,2.6,2.3,.062,,-0.7,2.1,1.4,1.5
92,Allen Crabbe\crabbal01,SG,24,POR,62,1757,11.0,.606,.443,.230,1.0,9.6,5.3,6.2,1.0,0.5,9.0,14.7,,2.4,0.3,2.7,.074,,0.1,-2.0,-1.9,0.1
93,Jamal Crawford\crawfja01,SG,36,LAC,64,1687,11.6,.515,.362,.218,1.1,5.6,3.4,16.2,1.4,0.6,13.1,23.2,,-0.1,1.0,0.9,.027,,-1.3,-2.2,-3.4,-0.6
94,Jordan Crawford\crawfjo02,SG,28,NOP,2,47,22.3,.630,.478,.000,0.0,9.0,4.5,24.1,2.1,0.0,4.2,22.6,,0.1,0.0,0.2,.189,,4.8,-2.9,2.0,0.0
95,Jae Crowder\crowdja01,SF,26,BOS,55,1780,15.1,.614,.559,.278,2.2,17.1,9.7,10.2,1.5,0.8,7.8,16.7,,3.4,1.8,5.2,.140,,1.7,0.0,1.8,1.7
96,Dante Cunningham\cunnida01,SF,29,NOP,50,1249,8.9,.544,.523,.072,3.3,13.7,8.5,3.7,1.1,1.4,7.7,11.0,,0.5,1.2,1.8,.069,,-2.1,0.7,-1.4,0.2
97,Seth Curry\curryse01,PG,26,DAL,59,1711,16.1,.605,.453,.129,1.6,9.3,5.3,16.5,2.2,0.3,11.1,19.7,,2.7,1.6,4.3,.122,,2.2,-0.1,2.0,1.7
98,Stephen Curry\curryst01,PG,28,GSW,63,2116,23.6,.618,.548,.254,2.6,11.4,7.3,29.1,2.5,0.5,12.8,29.5,,6.4,3.0,9.4,.213,,7.0,-0.6,6.3,4.5
