Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
52,Trevor Booker\booketr01,PF,30,BRK,8,0,22.1,4.4,8.8,.500,0.1,0.5,.250,4.3,8.3,.515,.507,1.9,3.6,.517,3.1,4.3,7.4,1.8,0.4,0.1,1.9,2.5,10.8
53,Avery Bradley\bradlav01,SG,27,DET,10,10,31.5,6.4,14.4,.444,1.9,4.5,.422,4.5,9.9,.455,.510,1.6,2.1,.762,0.9,2.0,2.9,2.1,1.6,0.2,2.6,2.1,16.3
54,Tony Bradley\bradlto01,C,20,UTA,1,0,6.0,0.0,1.0,.000,0.0,0.0,"",0.0,1.0,.000,.000,0.0,0.0,"",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Corey Brewer\breweco01,SF,31,LAL,10,1,14.5,0.7,1.8,.389,0.0,0.4,.000,0.7,1.4,.500,.389,0.4,0.8,.500,0.2,1.5,1.7,0.8,0.4,0.3,0.5,1.3,1.8
56,Malcolm Brogdon\brogdma01,PG,25,MIL,8,8,33.1,5.8,11.5,.500,2.0,4.4,.457,3.8,7.1,.526,.587,2.0,2.5,.800,0.1,1.8,1.9,4.8,1.1,0.1,1.8,3.0,15.5
57,Aaron Brooks\brookaa01,PG,33,MIN,4,0,2.0,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.0,0.0,"",0.3,0.5,0.8,0.0,0.3,0.0,0.0,0.0,1.8
58,Dillon Brooks\brookdi01,SF,22,MEM,10,2,28.9,3.3,7.5,.440,0.7,2.6,.269,2.6,4.9,.531,.487,1.3,1.9,.684,0.6,3.3,3.9,1.3,1.1,0.3,2.1,3.7,8.6
59,Bobby Brown\brownbo02,PG,33,HOU,6,0,11.2,1.8,5.2,.355,1.2,3.5,.333,0.7,1.7,.400,.468,0.0,0.0,"",0.0,0.8,0.8,0.8,0.3,0.0,0.7,0.5,4.8
60,Jaylen Brown\brownja02,SF,21,BOS,10,10,31.6,5.6,12.0,.467,2.0,4.7,.426,3.6,7.3,.493,.550,2.6,4.6,.565,1.1,5.5,6.6,0.9,1.0,0.2,1.4,2.7,15.8
61,Sterling Brown\brownst02,SG,22,MIL,3,0,5.3,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.0,"",0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,1.7
62,Nicolas Brussino\brussni01,SF,24,ATL,3,0,3.3,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,"",.000,0.0,0.0,"",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Reggie Bullock\bullore01,SF,26,DET,5,0,12.0,0.4,2.4,.167,0.0,1.4,.000,0.4,1.0,.400,.167,0.4,0.8,.500,0.0,0.8,0.8,0.8,0.8,0.2,0.4,0.0,1.2
64,Alec Burks\burksal01,SG,26,UTA,9,0,14.2,2.1,5.1,.413,1.0,1.8,.563,1.1,3.3,.333,.511,0.8,0.9,.875,0.0,2.0,2.0,0.6,0.7,0.2,1.0,1.2,6.0
65,Jimmy Butler\butleji01,SG,28,MIN,8,8,36.0,5.3,12.1,.433,0.8,2.4,.316,4.5,9.8,.462,.464,3.9,4.5,.861,0.6,4.6,5.3,4.0,1.6,0.0,2.5,2.0,15.1
66,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,"",.000,0.0,0.0,"",0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0
67,Jose Calderon\caldejo01,PG,36,CLE,6,1,6.2,0.5,1.2,.429,0.2,0.3,.500,0.3,0.8,.400,.500,0.0,0.0,"",0.0,0.5,0.5,0.7,0.0,0.0,0.7,0.0,1.2
68,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,8,8,32.4,4.0,9.6,.416,1.4,4.4,.314,2.6,5.3,.500,.487,2.0,2.4,.842,0.4,4.6,5.0,2.4,1.4,0.3,1.8,2.3,11.4
69,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4.0,0.0,1.0,.000,0.0,0.0,"",0.0,1.0,.000,.000,0.0,0.0,"",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Clint Capela\capelca01,C,23,HOU,11,11,24.2,5.5,8.1,.685,0.0,0.1,.000,5.5,8.0,.693,.685,1.6,2.1,.783,3.0,7.6,10.6,1.2,0.9,1.6,1.3,2.3,12.7
71,DeMarre Carroll\carrode01,SF,31,BRK,8,8,28.9,4.4,10.3,.427,1.8,4.6,.378,2.6,5.6,.467,.512,3.1,4.4,.714,1.1,5.3,6.4,1.8,1.9,0.6,0.9,2.6,13.6
72,Vince Carter\cartevi01,SF,41,SAC,8,0,11.6,0.8,3.5,.214,0.8,2.5,.300,0.0,1.0,.000,.321,0.4,0.5,.750,0.0,1.1,1.1,0.6,0.4,0.1,0.5,1.3,2.6
73,Michael Carter-Williams\cartemi01,PG,26,CHO,1,0,8.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,2.0,.000,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
74,Alex Caruso\carusal01,PG,23,LAL,2,0,9.5,0.5,1.0,.500,0.0,0.0,"",0.5,1.0,.500,.500,0.0,0.0,"",0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
75,Omri Casspi\casspom01,SF,29,GSW,7,0,7.9,1.1,1.7,.667,0.3,0.3,1.000,0.9,1.4,.600,.750,1.4,1.6,.909,0.4,2.3,2.7,0.7,0.3,0.3,0.4,0.7,4.0
76,Willie Cauley-Stein\caulewi01,C,24,SAC,9,9,25.3,3.7,7.0,.524,0.0,0.2,.000,3.7,6.8,.541,.524,1.1,1.7,.667,1.7,4.7,6.3,2.1,0.9,0.8,1.0,2.2,8.4
77,Tyler Cavanaugh\cavanty01,PF,23,ATL,1,0,3.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Mario Chalmers\chalmma01,PG,31,MEM,10,1,23.6,2.7,8.1,.333,0.7,3.2,.219,2.0,4.9,.408,.377,2.0,2.9,.690,0.1,2.4,2.5,3.5,1.4,0.2,1.5,3.5,8.1
79,Tyson Chandler\chandty01,C,35,PHO,10,10,25.6,3.1,5.2,.596,0.0,0.0,"",3.1,5.2,.596,.596,1.5,2.2,.682,3.2,6.3,9.5,0.7,0.4,0.6,1.6,3.7,7.7
80,Wilson Chandler\chandwi01,SF,30,DEN,10,10,29.7,3.1,7.3,.425,0.8,2.4,.333,2.3,4.9,.469,.479,1.1,1.3,.846,1.2,2.3,3.5,2.7,0.6,0.4,1.2,1.9,8.1
81,Marquese Chriss\chrisma01,PF,20,PHO,10,7,20.0,2.3,5.7,.404,0.8,2.2,.364,1.5,3.5,.429,.474,1.2,1.6,.750,0.6,4.0,4.6,1.4,0.7,1.1,1.3,3.3,6.6
82,Ian Clark\clarkia01,SG,26,NOP,10,0,19.1,2.3,5.7,.404,1.2,3.1,.387,1.1,2.6,.423,.509,0.5,0.8,.625,0.1,2.0,2.1,2.2,0.4,0.0,0.6,1.6,6.3
83,Jordan Clarkson\clarkjo01,SG,25,LAL,10,0,20.5,5.9,11.6,.509,1.1,2.8,.393,4.8,8.8,.545,.556,2.2,2.7,.815,0.3,2.0,2.3,3.2,0.7,0.0,2.1,1.3,15.1
84,Gian Clavell\clavegi01,SG,24,DAL,6,0,9.3,0.8,2.5,.333,0.8,2.2,.385,0.0,0.3,.000,.500,0.0,0.0,"",0.2,1.0,1.2,0.5,0.3,0.0,0.2,1.2,2.5
85,John Collins\collijo01,PF,20,ATL,10,0,20.7,4.0,8.4,.476,0.0,0.1,.000,4.0,8.3,.482,.476,2.7,3.7,.730,3.7,4.6,8.3,0.7,0.5,1.3,1.3,3.5,10.7
86,Zach Collins\colliza01,C,20,POR,3,0,8.3,0.0,2.3,.000,0.0,0.7,.000,0.0,1.7,.000,.000,0.0,0.0,"",0.7,0.3,1.0,0.3,0.0,0.0,0.3,2.3,0.0
87,Darren Collison\collida01,PG,30,IND,10,10,32.2,4.8,9.9,.485,1.1,3.2,.344,3.7,6.7,.552,.540,2.4,2.7,.889,0.6,2.6,3.2,7.3,1.3,0.1,1.7,1.8,13.1
88,Nick Collison\collini01,PF,37,OKC,1,0,5.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
