Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
94,Robert Covington\covinro01,SF,27,PHI,10,305,16.3,.653,.631,.126,3.9,15.3,9.8,7.0,2.3,2.3,13.3,18.4,"",0.5,0.4,1.0,.151,"",2.7,1.2,3.9,0.5
95,Allen Crabbe\crabbal01,SG,25,BRK,11,272,12.6,.556,.646,.323,1.4,14.0,7.4,6.9,1.2,1.1,8.4,17.5,"",0.3,0.1,0.5,.080,"",-0.3,-1.3,-1.7,0.0
96,Jamal Crawford\crawfja01,SG,37,MIN,11,221,14.0,.550,.447,.234,0.5,6.9,3.7,19.5,2.0,0.4,16.2,24.0,"",0.2,0.0,0.2,.045,"",0.9,-3.3,-2.4,0.0
97,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,16.6,.643,.357,.000,5.9,2.8,4.3,39.0,0.0,2.3,22.2,20.9,"",0.1,0.0,0.1,.149,"",1.3,-4.6,-3.3,0.0
98,Jae Crowder\crowdja01,SF,27,CLE,11,287,8.7,.518,.507,.342,2.8,12.2,7.6,4.3,1.5,0.3,10.6,14.3,"",0.1,0.0,0.1,.012,"",-1.4,-2.5,-3.9,-0.1
99,Dante Cunningham\cunnida01,SF,30,NOP,11,283,4.8,.365,.590,.180,5.0,12.3,8.8,3.3,1.4,1.2,4.4,10.5,"",-0.2,0.3,0.1,.015,"",-4.1,0.4,-3.7,-0.1
100,Stephen Curry\curryst01,PG,29,GSW,12,390,28.1,.654,.571,.404,1.9,13.2,8.0,29.4,2.7,0.6,12.1,29.2,"",2.0,0.4,2.4,.300,"",8.9,-1.2,7.7,1.0
101,Troy Daniels\danietr01,SG,26,PHO,12,180,9.7,.660,.827,.077,0.6,5.3,2.9,3.4,0.5,0.0,11.5,14.0,"",0.3,-0.1,0.2,.053,"",1.5,-4.3,-2.8,0.0
102,Anthony Davis\davisan02,PF,24,NOP,10,368,31.8,.655,.163,.494,9.1,27.1,18.3,13.1,1.6,4.8,10.0,28.1,"",1.7,0.7,2.4,.308,"",5.0,2.2,7.2,0.8
103,Deyonta Davis\davisde01,C,21,MEM,1,3,29.1,.500,.000,.000,0.0,74.4,37.8,81.1,0.0,0.0,0.0,30.5,"",0.0,0.0,0.0,.366,"",10.4,10.1,20.5,0.0
104,Ed Davis\davised01,PF,28,POR,11,210,17.3,.520,.000,.481,19.8,28.9,24.4,4.4,1.2,3.6,14.4,15.6,"",0.4,0.4,0.8,.177,"",-1.2,1.6,0.4,0.1
105,Dewayne Dedmon\dedmode01,C,28,ATL,11,274,14.7,.589,.157,.169,6.6,27.6,17.0,6.4,0.5,3.3,14.4,16.5,"",0.3,0.2,0.5,.090,"",-2.3,0.2,-2.2,0.0
106,Sam Dekker\dekkesa01,SF,23,LAC,8,54,8.6,.475,.471,.118,4.0,15.9,10.0,8.2,1.8,0.0,14.4,16.6,"",0.0,0.0,0.0,.025,"",-2.0,-1.3,-3.3,0.0
107,Malcolm Delaney\delanma01,PG,28,ATL,9,188,9.8,.499,.333,.275,1.7,9.2,5.4,16.3,2.0,0.5,14.9,15.5,"",0.0,0.1,0.1,.020,"",-2.2,-1.2,-3.5,-0.1
108,Matthew Dellavedova\dellama01,PG,27,MIL,10,212,5.4,.482,.457,.239,2.3,10.7,6.6,21.2,0.2,0.0,27.2,15.1,"",-0.1,-0.1,-0.2,-0.043,"",-3.7,-3.6,-7.3,-0.3
109,Luol Deng\denglu01,SF,32,LAL,1,13,5.7,.500,.000,.000,0.0,0.0,0.0,10.0,3.6,0.0,33.3,9.7,"",0.0,0.0,0.0,-0.003,"",-6.2,-0.7,-6.9,0.0
110,DeMar DeRozan\derozde01,SG,28,TOR,10,343,20.9,.574,.136,.527,2.7,9.7,6.2,18.5,2.0,0.2,13.7,30.7,"",0.7,0.3,1.0,.144,"",2.0,-1.4,0.5,0.2
111,Cheick Diallo\diallch01,PF,21,NOP,6,46,5.6,.463,.000,.182,9.4,26.8,18.3,3.1,0.0,1.8,20.2,13.9,"",0.0,0.1,0.0,.017,"",-7.9,-1.3,-9.1,-0.1
112,Gorgui Dieng\dienggo01,C,28,MIN,11,174,18.7,.581,.148,.481,15.2,22.9,19.0,9.5,1.4,0.9,13.3,18.6,"",0.4,0.1,0.5,.149,"",2.3,-0.9,1.4,0.1
113,Spencer Dinwiddie\dinwisp01,PG,24,BRK,11,242,17.8,.546,.425,.310,3.6,10.0,6.6,34.1,2.0,0.0,10.8,18.3,"",0.6,0.1,0.8,.152,"",2.5,-1.8,0.6,0.2
114,Tyler Dorsey\dorsety01,SG,21,ATL,5,27,1.5,.506,.778,.222,0.0,12.0,5.9,5.5,0.0,0.0,28.8,22.3,"",-0.1,0.0,-0.1,-0.163,"",-7.0,-4.9,-11.9,-0.1
115,Damyean Dotson\dotsoda01,SG,23,NYK,6,39,7.8,.393,.364,.091,6.2,25.1,16.1,10.3,0.0,0.0,8.0,13.8,"",0.0,0.0,0.0,.008,"",-3.1,-1.8,-4.9,0.0
116,Goran Dragic\dragigo01,PG,31,MIA,11,379,19.5,.573,.289,.272,3.0,10.7,7.0,23.5,1.2,0.2,10.2,25.0,"",1.0,0.3,1.2,.153,"",3.1,-1.2,1.9,0.4
117,Andre Drummond\drumman01,C,24,DET,11,360,24.2,.589,.000,.427,16.3,37.9,26.5,12.7,2.9,2.9,17.1,19.1,"",0.9,0.8,1.7,.230,"",1.2,5.6,6.9,0.8
118,Jared Dudley\dudleja01,PF,32,PHO,4,55,16.4,.808,.600,.400,5.5,19.1,12.1,16.3,0.8,1.4,20.3,11.1,"",0.2,0.0,0.2,.164,"",2.8,-1.1,1.7,0.1
119,Kris Dunn\dunnkr01,PG,23,CHI,5,119,7.6,.434,.292,.125,2.6,17.9,10.1,25.2,4.2,2.2,27.3,25.7,"",-0.5,0.3,-0.2,-0.078,"",-6.3,4.1,-2.3,0.0
120,Kevin Durant\duranke01,SF,29,GSW,11,387,25.0,.662,.381,.315,2.5,20.1,12.1,21.2,0.6,5.5,15.2,27.0,"",1.3,0.5,1.8,.221,"",4.3,1.3,5.6,0.7
